Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120, Prey Angle: 120
180,42,219,95,56,49,93,49,236,153,108,49,110.75
54,0,125,83,84,111,186,55,0,35,85,159,81.41666666666667
57,57,13,70,96,147,49,6,66,130,29,70,65.83333333333333
332,20,35,98,94,49,187,21,77,94,155,60,101.83333333333333
100,45,107,79,79,168,106,24,9,115,68,163,88.58333333333333
214,119,40,19,139,294,1,63,139,48,160,100,111.33333333333333
266,62,75,49,88,392,57,87,56,165,61,105,121.91666666666667
24,158,196,142,67,219,99,79,163,179,135,58,126.58333333333333
91,98,14,3,69,259,110,122,3,73,225,31,91.5
289,97,45,0,235,631,29,166,87,129,74,60,153.5
182,147,64,50,112,656,147,147,148,200,234,117,183.66666666666666
184,40,166,49,230,629,223,62,113,124,34,91,162.08333333333334
331,40,112,150,129,270,127,81,87,122,259,119,152.25
179,0,0,70,194,366,79,98,0,264,286,101,136.41666666666666
60,0,49,130,124,396,110,94,55,87,221,92,118.16666666666667
151,175,98,49,37,668,88,128,211,73,327,73,173.16666666666666
340,40,0,217,138,607,289,24,224,132,325,128,205.33333333333334
523,41,109,156,232,567,221,98,118,341,405,87,241.5
456,98,196,116,232,512,248,0,256,126,210,241,224.25
276,49,98,98,221,529,318,134,59,92,681,160,226.25
87,66,289,31,200,354,316,144,118,218,247,100,180.83333333333334
356,132,147,185,151,213,250,37,188,69,423,275,202.16666666666666
116,298,104,48,188,229,555,98,202,259,527,80,225.33333333333334
298,335,360,222,182,351,188,170,199,286,405,98,257.8333333333333
217,292,362,160,191,406,723,95,391,327,409,176,312.4166666666667
222,249,112,98,309,542,412,124,269,432,354,112,269.5833333333333
434,391,340,46,256,373,698,57,181,279,612,197,322
499,260,158,147,419,325,780,249,397,299,667,80,356.6666666666667
303,358,182,196,485,400,614,81,107,86,486,237,294.5833333333333
197,235,335,0,377,401,415,0,23,232,464,132,234.25
459,113,277,147,386,517,311,165,308,136,366,189,281.1666666666667
277,321,309,0,442,633,513,37,122,140,741,378,326.0833333333333
402,564,445,49,296,300,785,0,144,53,455,410,325.25
311,354,220,175,449,275,660,49,500,132,507,451,340.25
245,493,257,94,736,562,289,75,207,295,457,184,324.5
130,443,328,0,613,851,547,58,220,97,437,79,316.9166666666667
276,573,228,49,988,478,806,127,341,321,367,196,395.8333333333333
345,464,355,114,892,684,648,109,374,380,665,455,457.0833333333333
377,706,273,98,776,448,385,65,707,352,781,239,433.9166666666667
278,587,488,98,724,642,412,103,153,251,325,437,374.8333333333333
357,414,429,147,901,705,404,18,153,388,730,357,416.9166666666667
310,517,479,49,954,461,390,81,294,631,734,390,440.8333333333333
300,1032,617,98,642,777,502,218,285,575,557,98,475.0833333333333
268,706,425,98,794,967,304,22,299,525,249,354,417.5833333333333
710,665,327,169,934,547,506,159,386,394,717,283,483.0833333333333
321,404,688,547,635,1131,348,353,239,292,653,462,506.0833333333333
144,816,571,235,617,561,560,223,243,608,540,412,460.8333333333333
245,325,612,327,627,689,475,49,261,739,935,135,451.5833333333333
314,778,467,375,774,650,147,271,311,966,902,227,515.1666666666666
198,635,465,284,549,494,385,230,67,547,761,442,421.4166666666667
