Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180
5,3,4,5,5,6,3,4,2,5,4,3,4.083333333333333
3,4,4,4,2,1,1,7,4,5,1,0,3
1,5,4,4,6,3,3,8,4,2,6,2,4
4,4,5,5,3,5,2,13,3,7,4,3,4.833333333333333
4,6,4,3,3,3,4,8,2,6,2,2,3.9166666666666665
8,2,2,3,4,3,5,9,1,8,2,3,4.166666666666667
12,3,3,7,7,3,3,11,5,3,3,5,5.416666666666667
12,4,4,9,6,4,3,7,4,2,2,6,5.25
13,4,1,7,9,2,4,6,3,0,2,12,5.25
15,7,6,6,5,1,4,5,1,3,3,19,6.25
12,6,2,5,5,0,1,4,0,5,7,12,4.916666666666667
12,6,3,9,16,0,5,8,6,3,3,19,7.5
13,5,3,4,18,1,1,5,4,2,3,16,6.25
11,5,4,3,17,0,2,10,5,5,4,16,6.833333333333333
14,4,10,7,20,1,4,13,3,5,11,14,8.833333333333334
22,5,7,12,21,0,3,12,6,3,9,12,9.333333333333334
11,4,6,8,25,0,0,11,5,7,3,9,7.416666666666667
16,8,6,9,21,0,0,5,2,5,5,14,7.583333333333333
19,10,1,7,22,1,2,8,2,4,10,9,7.916666666666667
17,6,7,8,30,2,4,8,6,4,7,11,9.166666666666666
16,8,8,13,22,4,2,9,6,4,4,13,9.083333333333334
19,10,6,7,27,5,4,8,5,10,7,7,9.583333333333334
14,5,11,11,18,5,3,7,1,4,7,11,8.083333333333334
9,14,11,8,18,9,4,7,6,8,12,13,9.916666666666666
18,9,10,14,23,5,4,11,7,10,10,12,11.083333333333334
14,12,5,9,21,4,4,13,8,8,11,16,10.416666666666666
9,11,7,11,18,7,7,11,7,12,5,13,9.833333333333334
11,12,8,14,23,2,6,9,7,4,6,4,8.833333333333334
11,6,10,13,25,3,5,11,13,7,4,11,9.916666666666666
13,10,7,13,17,7,7,13,5,11,7,8,9.833333333333334
11,10,6,9,25,3,4,9,14,12,7,11,10.083333333333334
15,12,6,12,23,3,3,15,10,5,8,11,10.25
14,14,6,8,21,6,3,10,10,9,3,10,9.5
17,9,9,9,28,5,2,13,11,11,8,7,10.75
10,18,12,10,22,6,6,13,8,11,8,11,11.25
11,10,15,9,20,8,3,14,12,11,10,10,11.083333333333334
16,14,20,8,18,8,4,13,13,8,6,10,11.5
14,14,15,9,18,10,5,14,15,10,13,13,12.5
16,13,14,8,28,12,7,15,8,12,8,13,12.833333333333334
20,17,20,10,20,7,8,14,9,13,9,14,13.416666666666666
23,11,24,10,20,13,4,17,17,16,11,9,14.583333333333334
25,18,23,6,23,12,3,12,11,15,10,10,14
18,19,18,7,23,12,5,16,11,14,11,11,13.75
20,13,17,9,23,19,7,14,13,11,8,11,13.75
22,15,22,8,24,14,7,15,15,18,16,18,16.166666666666668
24,16,21,12,25,17,3,18,10,22,6,9,15.25
24,15,18,9,23,16,5,20,10,15,4,17,14.666666666666666
23,15,22,8,24,18,7,20,13,15,5,12,15.166666666666666
24,19,20,11,18,12,5,13,14,19,5,14,14.5
29,15,20,11,17,12,5,19,12,17,13,12,15.166666666666666
20,16,21,9,15,10,5,11,10,20,12,13,13.5
22,18,20,7,21,15,4,17,11,22,7,13,14.75
21,19,26,11,18,9,3,18,10,25,14,13,15.583333333333334
21,17,23,10,22,12,7,14,16,25,6,15,15.666666666666666
17,20,23,9,21,14,8,24,16,21,13,8,16.166666666666668
22,19,24,10,19,17,5,18,14,17,12,16,16.083333333333332
24,14,20,7,22,13,2,17,13,25,18,16,15.916666666666666
22,19,20,12,23,21,4,18,14,22,7,12,16.166666666666668
27,14,26,9,23,15,5,13,13,19,11,14,15.75
18,18,30,11,19,18,2,16,14,22,7,9,15.333333333333334
23,17,26,8,22,12,11,15,12,17,15,14,16
